insee,commune,departement,travail_insee,travail_commune,travail_departement,latitude,longitude,emplois,habitants,menages,pers_par_menages,unite_conso_menages,revenu_median,travail_latitude,travail_longitude,travail_emplois,distance_oiseau_km,distance_auto_km,duree_auto_minutes,distance_velo_km,duree_velo_minutes,2009,2014,2009_inter,2014_inter,2009_extra,2014_extra,2009_extra_travail_commune,extra_travail_commune_2014
30006,AIMARGUES,30,34145,LUNEL,34,43.67178037,4.203751001,582,5325,2107,5395,3527,19158,43.68204818,4.135664723,2837,5.6,7.3,14,7.5,32,1652,2131,560,683,1092,1448,124,140
30006,AIMARGUES,30,34172,MONTPELLIER,34,43.67178037,4.203751001,582,5325,2107,5395,3527,19158,43.61344091,3.868516579,38976,27.8,41.0,43,33.1,145,1652,2131,560,683,1092,1448,132,264
30006,AIMARGUES,30,30189,NIMES,30,43.67178037,4.203751001,582,5325,2107,5395,3527,19158,43.84493839,4.34806797,22719,22.5,33.8,36,27.3,115,1652,2131,560,683,1092,1448,168,245
30007,ALES,30,30243,SAINT-CHRISTOL-LES-ALES,30,44.12500991,4.088285013,6385,39993,19602,39059,28197,15894,44.08378546,4.076650068,641,4.7,6.7,13,6.0,26,12898,11565,8725,7939,4172,3626,355,299
30007,ALES,30,30305,SALINDRES,30,44.12500991,4.088285013,6385,39993,19602,39059,28197,15894,44.1650141,4.161358367,385,7.3,10.6,18,9.3,41,12898,11565,8725,7939,4172,3626,288,247
30007,ALES,30,30294,SAINT-PRIVAT-DES-VIEUX,30,44.12500991,4.088285013,6385,39993,19602,39059,28197,15894,44.141686,4.130633518,479,3.9,4.4,9,5.3,23,12898,11565,8725,7939,4172,3626,350,263
30007,ALES,30,30284,SAINT-MARTIN-DE-VALGALGUES,30,44.12500991,4.088285013,6385,39993,19602,39059,28197,15894,44.16588286,4.075000361,324,4.7,7.2,13,6.5,29,12898,11565,8725,7939,4172,3626,277,146
30007,ALES,30,34172,MONTPELLIER,34,44.12500991,4.088285013,6385,39993,19602,39059,28197,15894,43.61344091,3.868516579,38976,59.6,93.7,82,72.3,314,12898,0,8725,0,4172,0,131,0
30007,ALES,30,30132,LA GRAND-COMBE,30,44.12500991,4.088285013,6385,39993,19602,39059,28197,15894,44.22715122,4.029849021,416,12.3,17.0,24,16.9,71,12898,11565,8725,7939,4172,3626,189,160
30007,ALES,30,30010,ANDUZE,30,44.12500991,4.088285013,6385,39993,19602,39059,28197,15894,44.05078937,3.974841653,511,12.3,16.3,26,16.3,72,12898,11565,8725,7939,4172,3626,123,111
30007,ALES,30,30189,NIMES,30,44.12500991,4.088285013,6385,39993,19602,39059,28197,15894,43.84493839,4.34806797,22719,37.5,40.8,35,46.2,200,12898,11565,8725,7939,4172,3626,459,445
30007,ALES,30,30259,SAINT-HILAIRE-DE-BRETHMAS,30,44.12500991,4.088285013,6385,39993,19602,39059,28197,15894,44.09207594,4.123818981,532,4.6,5.6,10,5.7,24,12898,11565,8725,7939,4172,3626,238,169
30008,ALLEGRE-LES-FUMADES,30,30007,ALES,30,44.19760137,4.25339593,68,853,383,860,595,17660,44.12500991,4.088285013,6385,15.5,18.9,26,18.9,81,0,332,0,94,0,238,0,103
30010,ANDUZE,30,30007,ALES,30,44.05078937,3.974841653,511,3431,1600,3138,2285,17194,44.12500991,4.088285013,6385,12.3,16.3,26,16.5,72,1048,921,500,506,548,415,176,145
30011,LES ANGLES,30,84007,AVIGNON,84,43.94668029,4.752552562,1120,8443,4108,8532,6115,22754,43.93524483,4.840715725,18441,7.2,13.9,28,12.7,55,3664,3290,870,842,2795,2447,1561,1241
30011,LES ANGLES,30,84092,LE PONTET,84,43.94668029,4.752552562,1120,8443,4108,8532,6115,22754,43.96839035,4.865495908,3232,9.4,16.5,23,13.9,62,3664,0,870,0,2795,0,124,0
30011,LES ANGLES,30,30351,VILLENEUVE-LES-AVIGNON,30,43.94668029,4.752552562,1120,8443,4108,8532,6115,22754,43.97716736,4.794660407,1004,4.8,6.3,15,7.4,33,3664,3290,870,842,2795,2447,224,230
30012,ARAMON,30,84007,AVIGNON,84,43.90419902,4.683020019,280,4047,1733,4140,2799,20271,43.93524483,4.840715725,18441,13.1,19.2,36,19.5,111,1508,1649,588,614,920,1036,332,456
30014,ARPAILLARGUES-ET-AUREILLAC,30,30334,UZES,30,43.99969306,4.363863393,94,1033,438,1081,729,19484,44.01365904,4.416000316,1634,4.5,5.3,9,5.4,22,394,415,70,113,324,302,191,143
30019,AUBAIS,30,30189,NIMES,30,43.74902545,4.145768094,137,2589,1047,2605,1740,21914,43.84493839,4.34806797,22719,19.4,32.1,38,23.8,109,898,997,232,213,665,784,108,123
30020,AUBORD,30,30189,NIMES,30,43.75121117,4.317159692,173,2416,897,2466,1595,21011,43.84493839,4.34806797,22719,10.7,15.8,28,14.6,61,1099,1064,250,220,849,844,492,444
30026,AVEZE,30,30350,LE VIGAN,30,43.97594391,3.598832354,160,1091,496,1060,747,18108,43.98865656,3.625228834,651,2.5,3.5,7,3.5,14,402,404,137,128,265,276,152,123
30027,BAGARD,30,30007,ALES,30,44.07039157,4.043877851,245,2581,1003,2504,1676,19389,44.12500991,4.088285013,6385,7.0,9.5,16,8.7,36,904,945,228,243,676,702,256,290
30028,BAGNOLS-SUR-CEZE,30,30202,PONT-SAINT-ESPRIT,30,44.16224967,4.624773809,2737,18172,8274,18328,12709,17356,44.25266371,4.639019458,994,10.1,11.7,18,12.1,51,6361,5815,3699,3472,2662,2343,169,134
30028,BAGNOLS-SUR-CEZE,30,26235,PIERRELATTE,26,44.16224967,4.624773809,2737,18172,8274,18328,12709,17356,44.36069377,4.687151136,2898,22.6,27.3,31,27.5,114,6361,5815,3699,3472,2662,2343,214,174
30028,BAGNOLS-SUR-CEZE,30,30084,CODOLET,30,44.16224967,4.624773809,2737,18172,8274,18328,12709,17356,44.12744928,4.70097099,186,7.2,8.9,12,8.9,37,6361,5815,3699,3472,2662,2343,127,128
30028,BAGNOLS-SUR-CEZE,30,30081,CHUSCLAN,30,44.16224967,4.624773809,2737,18172,8274,18328,12709,17356,44.1543328,4.688296222,261,5.1,6.9,11,6.9,29,6361,5815,3699,3472,2662,2343,369,293
30028,BAGNOLS-SUR-CEZE,30,30141,LAUDUN-L'ARDOISE,30,44.16224967,4.624773809,2737,18172,8274,18328,12709,17356,44.10295683,4.663895131,840,7.3,10.8,14,8.8,37,6361,5815,3699,3472,2662,2343,433,381
