commune;insee;total_personne_entrante;total_personne_partante;Balance;;km_parcourut_entrant;km_parcourut_partant;Balance_des_km_parcourut;total_emissionCO2_km_entrant;CO2_km;emissionCO2_km_sortant;emissionCO2_km_balance_km_total;total_des_revenus_medians_des_communes_entrantes;total_des_revenus_medians_des_communes_entrantes;balance_des_revenus_medians;km_moyen_par_les_partants;km_moyen_par_les_entrants;Balance_deskm_parEnt_Sor;emissionCO2_km_total_km_partant;emissionCO2_km_total_km_entrant;emissionCO2_km_balance;Minute_emi_par_km;total_min_emi;total_min_immi;total_balance_min;taux_emploi;emplois;habitants;menages;pers_par_menages;unite_conso_menages;revenu_median;Nombre_actifs_2015;inter_voiture;extra_voiture;extra_sansvoiture;avec voiture ;sansvoiture;Inter_voiture_ternary;extra_voiture_ternary;sansvoiture_ternary;2015_extra_csp1;2015_extra_csp2;2015_extra_csp3;cadre_extra_ternary;inter_extra_ternary;ouvrier_extra_ternary;2015_inter_csp1;2015_inter_csp2;2015_inter_csp3;cadre_intra_ternary;inter_intra_ternary;ouvrier_intra_ternary;INTRA_CADRE;OUVRIER_INTRA
LOURDES;65286;1610;361;1249;;129;44;85;17415;;5940;11475;204744;35246;-169498;8.204545455;12.48062016;4.2760747;1107.613636;1684.883721;577.2700846;1.021583851;12.75;15.16666667;-2.416666667;31.89192953;2696;14361;7413;14319;10528;17623;4580;2064;991;1526;66.68849596;33.31150404;45.0556647;21.63283126;33.31150404;149;350;798;11.48804934;26.98535081;61.52659985;14319;809;1946;83.86435516;4.73819843;11.39744641;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAINT-GAUDENS;31483;1377;132;1245;;209;101;108;28215;;13635;14580;258526;36382;-222144;1.306930693;6.588516746;5.281586053;176.4356436;889.4497608;713.0141172;2.883805374;19;15.4;3.6;31.92358952;2364;11255;5703;11110;8099;18191;3593;1553;1022;1019;71.64718976;28.35281024;43.21090707;28.43628269;28.35281024;194;348;698;15.64516129;28.06451613;56.29032258;11110;672;1288;85.00382555;5.141545524;9.854628921;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ONET-LE-CHATEAU;12176;3056;1889;1167;;225;29;197;30375;;3915;26595;350625;60480;-290145;65.13793103;13.58222222;-51.55570881;8793.62069;1833.6;-6960.02069;0.50065445;6.8;15.72222222;-8.922222222;41.69975501;2474;11837;5215;11376;7944;20160;4936;1382;2709;846;82.8640875;17.1359125;27.99270812;54.87137938;17.1359125;483;955;1565;16.08391608;31.8015318;52.11455211;11376;515;1184;87.00573614;3.938814532;9.055449331;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CLERMONT-L'HERAULT;34079;1315;347;968;;138;42;96;18630;;5670;12960;164549;16880;-147669;8.261904762;9.528985507;1.267080745;1115.357143;1286.413043;171.0559006;1.609125475;15.33333333;16.90909091;-1.575757576;34.26482726;1658;8481;3886;8438;5863;16880;2906;1061;1153;692;76.1871989;23.8128011;36.51066758;39.67653131;23.8128011;191;444;687;14.44780635;33.58547655;51.9667171;8438;421;917;86.31342062;4.306464812;9.380114566;CADRE_EN_MASSE;OUVRIER_EN_MASSE
PEZENAS;34199;1133;206;927;;133;111;22;17955;;14985;2970;217154;49956;-167198;1.855855856;8.518796992;6.662941137;250.5405405;1150.037594;899.4970534;2.418181818;20.6;11.78571429;8.814285714;31.32926829;1650;8200;3958;8425;5953;16652;2569;782;956;831;67.65278318;32.34721682;30.43985987;37.21292332;32.34721682;225;336;536;20.51048314;30.62898815;48.86052871;8425;470;661;88.16450398;4.918375889;6.917120134;CADRE_EN_MASSE;OUVRIER_EN_MASSE
UZES;30334;1033;316;717;;79;35;44;10665;;4725;5940;158204;35558;-122646;9.028571429;13.07594937;4.047377939;1218.857143;1765.253165;546.3960217;0.783881897;10.25;10.9;-0.65;31.11214844;1634;8569;4132;8394;6046;17779;2666;999;680;987;62.97824456;37.02175544;37.47186797;25.50637659;37.02175544;238;307;406;25.02628812;32.28180862;42.69190326;8394;493;897;85.79313164;5.038838921;9.168029436;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LAVAUR;81140;1489;773;716;;176;103;72;23760;;13905;9720;181532;59334;-122198;7.504854369;8.460227273;0.955372904;1013.15534;1142.130682;128.975342;2.41128274;20.4;19.27272727;1.127272727;38.55740181;1727;10592;4683;10361;7179;19778;4084;1495;1766;822;79.86774431;20.13225569;36.6152339;43.25251041;20.13225569;479;706;790;24.25316456;35.74683544;40;10361;649;1164;85.10760637;5.33103335;9.561360276;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LE GRAU-DU-ROI;30133;821;162;659;;64;119;-55;8640;;16065;-7425;56618;76692;20074;1.361344538;12.828125;11.46678046;183.7815126;1731.796875;1548.015362;1.831912302;23.5;17.4;6.1;28.16531295;1207;8372;5295;9621;7275;19173;2358;907;788;663;71.88295165;28.11704835;38.46480068;33.41815098;28.11704835;175;295;446;19.10480349;32.20524017;48.68995633;9621;370;734;89.70629371;3.44988345;6.843822844;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ARGELES-SUR-MER;66008;1101;443;658;;81;32;49;10935;;4320;6615;109229;37110;-72119;13.84375;13.59259259;-0.251157407;1868.90625;1835;-33.90625;0.735694823;10;13;-3;28.19340403;1689;10279;5679;11392;8260;18555;2898;1096;1071;731;74.77570738;25.22429262;37.81918565;36.95652174;25.22429262;262;415;505;22.16582064;35.10998308;42.72419628;11392;448;925;89.24402664;3.509596553;7.246376812;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LANNEMEZAN;65258;634;0;634;;116;49;68;15660;;6615;9180;122932;18422;-104510;0;5.465517241;5.465517241;0;737.8448276;737.8448276;2.500525763;13.66666667;14.25;-0.583333333;30.48037889;1266;5912;2702;5199;3818;18422;1802;770;630;403;77.64836384;22.35163616;42.70660011;34.94176373;22.35163616;60;230;421;8.438818565;32.3488045;59.21237693;5199;330;648;84.16707139;5.342399223;10.49052938;CADRE_EN_MASSE;OUVRIER_EN_MASSE
